NEAREST NEIGHBOR COMPARISON REPORT
==================================
Total targets compared: 500
Neighbors per target: 10
Comparison: Drop NaN vs. Fill NaN with Median (kurtosis_r)

ObjectID             | Overlap (Cnt)   | Overlap (%)    
ZTF18acaxxlv         | 10              | 100.0          
ZTF23abpqity         | 10              | 100.0          
ZTF18adabnqm         | 10              | 100.0          
ZTF24ablnwfm         | 10              | 100.0          
ZTF20abjapzj         | 10              | 100.0          
ZTF18abmxlup         | 10              | 100.0          
ZTF20abbptwx         | 10              | 100.0          
ZTF18abacrgu         | 10              | 100.0          
ZTF18abctnrg         | 10              | 100.0          
ZTF23aalujzp         | 10              | 100.0          
ZTF19aawqrbm         | 10              | 100.0          
ZTF19aafntce         | 10              | 100.0          
ZTF23aarvxyk         | 10              | 100.0          
ZTF20aazppyj         | 10              | 100.0          
ZTF18abrrizu         | 10              | 100.0          
ZTF23aaazwbu         | 10              | 100.0          
ZTF19abcpgwq         | 10              | 100.0          
ZTF19aacxvtq         | 10              | 100.0          
ZTF18abfqluz         | 10              | 100.0          
ZTF18abpobjz         | 10              | 100.0          
ZTF18abtourt         | 10              | 100.0          
ZTF19adjfvlw         | 10              | 100.0          
ZTF19aargjru         | 10              | 100.0          
ZTF19acvgsrf         | 10              | 100.0          
ZTF20aazoxsg         | 10              | 100.0          
ZTF18abctcnl         | 10              | 100.0          
ZTF18aanilxq         | 10              | 100.0          
ZTF22abbtvqy         | 10              | 100.0          
ZTF19aawubwp         | 10              | 100.0          
ZTF18acvgvxa         | 10              | 100.0          
ZTF19aamjugo         | 10              | 100.0          
ZTF20abrppci         | 10              | 100.0          
ZTF18absggdm         | 10              | 100.0          
ZTF18adaxdpl         | 10              | 100.0          
ZTF19aalzosm         | 10              | 100.0          
ZTF18abctcpl         | 10              | 100.0          
ZTF19acudgan         | 10              | 100.0          
ZTF18absaazu         | 10              | 100.0          
ZTF19aaprfze         | 10              | 100.0          
ZTF18abbsmgc         | 10              | 100.0          
ZTF18abejzch         | 10              | 100.0          
ZTF18aammjgm         | 10              | 100.0          
ZTF20acmwhfa         | 10              | 100.0          
ZTF19absemxh         | 10              | 100.0          
ZTF25aakolgb         | 10              | 100.0          
ZTF18accnpkh         | 10              | 100.0          
ZTF23aajbhqb         | 10              | 100.0          
ZTF18adrtshc         | 10              | 100.0          
ZTF22abcrsld         | 10              | 100.0          
ZTF19aawkppo         | 10              | 100.0          
ZTF19aaesdwl         | 10              | 100.0          
ZTF17aabpift         | 10              | 100.0          
ZTF20acnzwqd         | 10              | 100.0          
ZTF18aaheszr         | 10              | 100.0          
ZTF19aadouiq         | 10              | 100.0          
ZTF19abarimm         | 10              | 100.0          
ZTF18abusznp         | 10              | 100.0          
ZTF18acayupi         | 10              | 100.0          
ZTF18adqowuu         | 10              | 100.0          
ZTF18abuuqgn         | 10              | 100.0          
ZTF18aawuzhr         | 10              | 100.0          
ZTF18adfcein         | 10              | 100.0          
ZTF20abmrccr         | 10              | 100.0          
ZTF21abqmfrk         | 10              | 100.0          
ZTF18aauebim         | 10              | 100.0          
ZTF18abiwiei         | 10              | 100.0          
ZTF18abnpihn         | 10              | 100.0          
ZTF23aaizyvw         | 10              | 100.0          
ZTF18abuegzk         | 10              | 100.0          
ZTF19aasekgt         | 10              | 100.0          
ZTF18aaxjkek         | 10              | 100.0          
ZTF24abrcozo         | 10              | 100.0          
ZTF18adrxucg         | 10              | 100.0          
ZTF19aaqjurw         | 10              | 100.0          
ZTF18abepjum         | 10              | 100.0          
ZTF21aamkmqk         | 10              | 100.0          
ZTF18aaxyrzd         | 10              | 100.0          
ZTF18aaynjdt         | 10              | 100.0          
ZTF20acxnjiz         | 10              | 100.0          
ZTF20abphhze         | 10              | 100.0          
ZTF19aardxtl         | 10              | 100.0          
ZTF21absmjiy         | 10              | 100.0          
ZTF23aaxfxga         | 10              | 100.0          
ZTF19abeyujp         | 10              | 100.0          
ZTF19aapjzfc         | 10              | 100.0          
ZTF18acpsdoz         | 10              | 100.0          
ZTF25abdwmej         | 10              | 100.0          
ZTF19abtmkhe         | 10              | 100.0          
ZTF19acnkxez         | 10              | 100.0          
ZTF18aaxjken         | 10              | 100.0          
ZTF17aaaguju         | 10              | 100.0          
ZTF18adqqrjp         | 10              | 100.0          
ZTF18acmfgqu         | 10              | 100.0          
ZTF18abctlue         | 10              | 100.0          
ZTF20aawipab         | 10              | 100.0          
------------------------------------------------------------
AVERAGE OVERLAP PERCENTAGE: 100.00%
